code,name
SAP_BR_PROJECT_MANAGER_PROF,Project Manager - Professional Services
SAP_BR_PURCHASER,Purchaser
SAP_BR_PURCHASER_IN,Purchaser for India
SAP_BR_QUALITY_ENGINEER,Quality Engineer
SAP_BR_QUALITY_PLANNER,Quality Planner
SAP_BR_QUALITY_TECHNICIAN,Quality Technician
SAP_BR_RCVG_SPECIALIST_IOG,Receiving Specialist (IOG)
SAP_BR_RECEIVING_SPECIALIST,Receiving Specialist
SAP_BR_RECM_ADMINISTRATOR,Administrator - Leasing
SAP_BR_RECM_AP_ACCOUNTANT,Accounts Payable Accountant - Leasing
SAP_BR_RECM_AR_ACCOUNTANT,Accounts Receivable Accountant - Leasing
SAP_BR_RECM_SALES_REPORTER,Contract Specialist - Sales Reporting
SAP_BR_RECM_SPECIALIST,Contract Specialist - Leasing
SAP_BR_RECM_VALSPECIALIST,Contract Valuation Specialist - Leasing
SAP_BR_RECONC_SPEC_APR_FICA,Reconciliation Specialist - Accounts Payable and Receivable (FI-CA)
SAP_BR_RECON_ACCOUNTANT,General Ledger Accountant - Intercompany
SAP_BR_RETURNS_REFUND_CLERK,Returns and Refund Clerk
SAP_BR_REV_ACCOUNTANT,Revenue Accountant
SAP_BR_REV_ACCOUNTANT_IOG,Revenue Accountant (IOG)
SAP_BR_RE_COST_ACCOUNTANT,Cost Accountant - Real Estate
SAP_BR_RE_SPECIALIST_LOCAT,Real Estate Specialist - Location Management
SAP_BR_RFM_STORE_ASSOCIATE,Retail Store Associate
SAP_BR_SALES_ACCOUNTANT,Cost Accountant - Sales
SAP_BR_SALES_MANAGER,Sales Manager
SAP_BR_SALES_PROC_MGR_TEST,Order-to-Cash Process Manager Test
SAP_BR_SC_ANALYST_IOG,Supply Chain Analyst (IOG)
SAP_BR_SHIPPING_SPECIALIST,Shipping Specialist
SAP_BR_SHIP_SPECIALIST_JIT,Shipping Specialist - Just-In-Time Supply
SAP_BR_SOURCING_MANAGER,Sourcing Manager
SAP_BR_TAX_SPECIALIST,Tax Specialist
SAP_BR_TRANSP_PLANNER_IOG,Transportation Planner (IOG)
SAP_BR_TRD_CLS_SPECIALIST,Trade Classification Specialist
SAP_BR_TRD_CMPLNC_SPECIALIST,Trade Compliance Specialist
SAP_BR_TREASURY_ACCOUNTANT,Treasury Accountant
SAP_BR_TREASURY_RISK_MANAGER,Treasury Risk Manager
SAP_BR_TREASURY_SPECIALIST_BOE,Treasury Specialist - Back Office
SAP_BR_TREASURY_SPECIALIST_FOE,Treasury Specialist - Front Office
SAP_BR_TREASURY_SPECIALIST_MOE,Treasury Specialist - Middle Office
SAP_BR_WAREHOUSE_CLERK,Warehouse Clerk
SAP_BR_WAREHOUSE_CLERK_EWM,Warehouse Clerk (EWM)
SAP_BR_WAREHOUSE_CLERK_IOG,Warehouse Clerk (IOG)
SAP_BR_WAREHOUSE_OPERATIVE_EWM,Warehouse Operative (EWM)
